index,shipment_id,device_id,device_time,latitude,longitude,address,distance_from_origin,id,end_lag,time_interval,distance,speed
8149,sensitech-AD100095,JNJSHPJOM-HZ1028,2020-07-31 10:54:06,37.9811096191,-85.70468139649999,"548 Cedar Grove Rd, Shepherdsville, KY 40165, USA",318.2624405248416,1,0,781.0,2650.796222551089,12.218779002796314
8150,sensitech-AD100095,JNJSHPJOM-HZ1028,2020-07-31 11:03:37,37.9766464233,-85.708442688,"189 Hackberry Ln, Shepherdsville, KY 40165, USA",318.83846467792256,2,0,571.0,595.989604534139,3.7575526730698776
8151,sensitech-AD100095,JNJSHPJOM-HZ1028,2020-07-31 11:08:37,37.978225708,-85.7117156982,"581 State Hwy 2237, Shepherdsville, KY 40165, USA",318.93688306969307,3,0,300.0,336.4649477427713,4.037579372913255
8152,sensitech-AD100095,JNJSHPJOM-HZ1028,2020-07-31 11:15:47,37.9770507813,-85.7221679688,"371 Beech Grove Rd, Shepherdsville, KY 40165, USA",319.7102899009266,4,0,430.0,925.695409988255,7.7500080836226
8153,sensitech-AD100095,JNJSHPJOM-HZ1028,2020-07-31 11:33:04,37.9772529602,-85.7437973022,"HUNTERS HLW, KY 40165, USA",321.1201467574186,5,0,1037.0,1896.541496661289,6.583943479248449
8154,sensitech-AD100095,JNJSHPJOM-HZ1028,2020-07-31 11:47:11,37.9758720398,-85.7720336914,"Pitts Point Rd, Lebanon Junction, KY 40150, USA",323.08757731253064,6,0,847.0,2480.479138312944,10.542768474529634
8155,sensitech-AD100095,JNJSHPJOM-HZ1028,2020-07-31 11:57:54,38.0050583636,-85.7056872727,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",316.56938790466126,7,0,643.0,6660.732935101139,37.29181736604059
8156,sensitech-AD100095,JNJSHPJOM-HZ1028,2020-07-31 12:03:57,38.0050187273,-85.7056687273,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",316.5710648947735,8,0,363.0,4.698818943504326,0.04659985729095199
8157,sensitech-AD100095,JNJSHPJOM-HZ1028,2020-07-31 12:11:44,38.00489575,-85.70560908329999,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",316.5761295046949,9,0,467.0,14.643578981143248,0.1128841206255154
8158,sensitech-AD100095,JNJSHPJOM-HZ1028,2020-07-31 12:18:54,38.0048781489,-85.7056013404,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",316.5769067991209,10,0,430.0,2.072047661510265,0.017347375770783616
8159,sensitech-AD100095,JNJSHPJOM-HZ1028,2020-07-31 12:33:54,38.0051324255,-85.7057137872,"925 Conestoga Pkwy, Shepherdsville, KY 40165, USA",316.5657174231442,11,0,900.0,29.951020454490035,0.11980408181796015
